iframe test results
--- http://truth-out.org: OK
--- http://tucsoncitizen.com: OK
--- http://tv.msnbc.com: OK
--- http://tvnz.co.nz: OK
--- http://uk.news.yahoo.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://union-bulletin.com: OK
--- http://venturebeat.com: OK
--- http://video.msnbc.msn.com: OK
--- http://vtdigger.org: OK
--- http://wamu.org: OK
--- http://washingtonexaminer.com: OK
--- http://weather.yahoo.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://web.mit.edu: OK
--- http://womennewsnetwork.net: OK
--- http://wonkette.com: OK
--- http://world.time.com: OK
--- http://wwf.panda.org: OK
--- http://www2.ljworld.com: OK
--- http://www2.macleans.ca: OK
--- http://www.4-traders.com: OK
--- http://www.9news.com: OK
--- http://www.abc.net.au: OK
--- http://www.abqjournal.com: OK
--- http://www.abs-cbnnews.com: OK
--- http://www.accuweather.com: OK
--- http://www.adelaidenow.com.au: OK
--- http://www.adn.com: OK
--- http://www.agprofessional.com: OK
--- http://www.agriculture.com: OK
--- http://www.agweekly.com: OK
--- http://www.ajc.com: OK
--- http://www.alaskadispatch.com: OK
--- http://www.al.com: OK
--- http://www.aljazeera.com: OK
--- http://www.allgov.com: OK
--- http://www.altenergymag.com: OK
--- http://www.alternet.org: OK
--- http://www.americanprogress.org: OK
--- http://www.american-reporter.com: OK
--- http://www.americanthinker.com: OK
--- http://www.aninews.in: OK
--- http://www.app.com: OK
--- http://www.article-3.com: OK
--- http://www.asianews.it: OK
--- http://www.asiaone.com: OK
--- http://www.aspentimes.com: OK
--- http://www.astrobio.net: OK
--- http://www.athensnews.com: OK
--- http://www.atimes.com: OK
--- http://www.australiannews.net: OK
--- http://www.authintmail.com: OK
--- http://www.azcentral.com: OK
--- http://www.azocleantech.com: OK
--- http://www.baltimoresun.com: OK
--- http://www.bbc.co.uk: OK
--- http://www.bclocalnews.com: OK
--- http://www.bdlive.co.za: OK
--- http://www.beaumontenterprise.com: OK
--- http://www.bendbulletin.com: OK
--- http://www.benningtonbanner.com: OK
--- http://www.benzinga.com: OK
--- http://www.bizjournals.com: OK
--- http://www.blogforiowa.com: OK
--- http://www.bloomberg.com: OK
--- http://www.bostonglobe.com: OK
--- http://www.boulderweekly.com: OK
--- http://www.bozemandailychronicle.com: OK
--- http://www.bradblog.com: OK
--- http://www.brecorder.com: OK
--- http://www.breitbart.com: OK
--- http://www.brisbanetimes.com.au: OK
--- http://www.brookings.edu: OK
--- http://www.bu.edu: OK
--- http://www.buffalonews.com: OK
--- http://www.businessgreen.com: OK
--- http://www.businessinsider.com: OK
--- http://www.businessspectator.com.au: OK
--- http://www.businessweek.com: FRAMEBUSTER
--- http://www.buzzfeed.com: OK
--- http://www.calacademy.org: OK
--- http://www.canada.com: OK
--- http://www.canadafreepress.com: OK
--- http://www.canberratimes.com.au: OK
--- http://www.capecodonline.com: OK
--- http://www.carbonbrief.org: OK
--- http://www.care2.com: OK
--- http://www.castanet.net: OK
--- http://www.catholic.org: OK
--- http://www.cato.org: OK
--- http://www.cbc.ca: OK
--- http://www.cbsnews.com: OK
--- http://www.cdapress.com: OK
--- http://www.centraljersey.com: OK
--- http://www.channel4.com: OK
--- http://www.channelnewsasia.com: OK
--- http://www.charlotteobserver.com: OK
